recongized_word confidence
before 1.0
before 1.0
even 1.0
always 1.0
oily 1.0
carry 1.0
morning 1.0
greasy 1.0
children 1.0
into 1.0
every 0.999999999995
system 1.0
sometimes 1.0
after 0.720525310937
even 1.0
sometimes 1.0
every 0.999955954891
children 1.0
become 1.0
water 1.0
never 1.0
order 0.996140130149
allow 1.0
carry 0.999999968949
open 1.0
about 1.0
only 1.0
enough 1.0
every 1.0
brother 1.0
shellfish 1.0
water 1.0
after 0.999999999997
system 0.999999999979
every 1.0
extra 1.0
only 0.999999999813
into 1.0
even 1.0
sometimes 1.0
along 1.0
many 1.0
very 0.996301363565
morning 1.0
often 1.0
table 1.0
every 1.0
only 1.0
another 0.941758556449
often 0.999999276558
carry 1.0
often 1.0
shellfish 1.0
brother 1.0
order 0.999997560669
become 1.0
government 1.0
never 1.0
never 1.0
greasy 1.0
oily 1.0
money 1.0
greasy 1.0
often 0.999999943472
water 1.0
government 1.0
morning 0.999930870911
water 1.0
water 1.0
never 1.0
enough 1.0
only 1.0
many 1.0
greasy 1.0
eating 1.0
after 0.999998632269
shellfish 0.999999999976
greasy 1.0
system 1.0
money 0.986515172051
water 1.0
after 0.994166997983
every 0.842900813732
very 0.999985890888
many 1.0
sometimes 1.0
extra 0.998350138531
sometimes 1.0
shellfish 1.0
system 1.0
oily 0.999861151073
children 0.993707689039
shellfish 0.564290109936
several 1.0
into 0.999999999999
after 0.999998445819
after 0.999999999968
system 1.0
morning 1.0
another 0.99990579886
allow 1.0
around 1.0
water 1.0
other 0.749458839862
morning 1.0
very 0.835267602943
away 0.994578021741
morning 1.0
eating 1.0
brother 1.0
sometimes 1.0
greasy 1.0
enough 1.0
open 0.999999999995
people 1.0
never 1.0
over 0.999977563093
often 0.777516247011
enjoy 1.0
after 0.949595496497
before 1.0
oily 0.99999999997
another 1.0
children 1.0
about 0.999999999991
every 1.0
always 1.0
forces 1.0
greasy 1.0
government 1.0
every 0.999994555442
never 1.0
also 1.0
problem 1.0
often 1.0
around 1.0
about 1.0
morning 0.99832440408
dinner 0.999999987772
several 0.999999999998
always 1.0
before 1.0
study 1.0
after 0.735286323654
about 0.806516507928
every 0.496968145568
along 0.999997409233
very 1.0
children 1.0
before 0.94505476007
dinner 1.0
often 1.0
shellfish 1.0
greasy 1.0
along 1.0
morning 0.999997806449
every 1.0
children 1.0
every 0.999846027754
oily 1.0
enjoy 1.0
always 1.0
over 1.0
morning 1.0
open 0.999999999987
allow 1.0
water 1.0
table 1.0
never 0.999972205822
about 0.999989618354
shellfish 0.51905550702
many 1.0
morning 1.0
without 0.433764998811
enough 1.0
people 1.0
allow 0.99999993021
enough 1.0
only 1.0
carry 1.0
morning 0.999999999999
also 1.0
extra 1.0
government 1.0
system 0.999999972373
nothing 1.0
water 1.0
carry 1.0
nothing 1.0
before 1.0
every 1.0
allow 1.0
often 0.718406059317
open 0.999988009798
before 1.0
every 0.999999999846
without 1.0
other 0.918246652248
money 0.999999998989
forces 1.0
after 0.999978065892
every 1.0
allow 1.0
never 0.98910099324
table 1.0
many 0.990414511397
children 1.0
allow 1.0
never 0.998898611048
very 1.0
forces 1.0
after 0.999999998962
only 0.999999849557
children 0.999866592012
away 1.0
always 1.0
extra 1.0
system 1.0
children 1.0
after 1.0
carry 1.0
morning 1.0
oily 1.0
children 1.0
oily 0.998355046815
nothing 0.999999999888
many 1.0
also 1.0
allow 1.0
shellfish 1.0
also 1.0
along 0.929014348433
dinner 0.990671728633
every 0.999400212375
without 1.0
system 1.0
people 1.0
eating 1.0
into 1.0
never 1.0
about 0.999999936697
become 0.999999999993
enjoy 0.999999991538
system 1.0
enjoy 1.0
other 0.999665356418
forces 0.994227938324
before 1.0
enjoy 1.0
sometimes 1.0
after 1.0
greasy 1.0
